index,origi,name,is_slack,area,lat,lon,n_neighbors,nominal_voltage_kv
668,5609,36055011302,0,2,43.239,-77.46,2,138
669,5610,36055011400,0,2,43.213,-77.409,2,138
670,5611,36055011501,0,2,43.189,-77.45,1,138
671,5619,36055011703,0,2,43.104,-77.4,2,138
672,5624,36055011800,0,2,43.099,-77.444,2,138
673,5625,36055011901,0,2,43.114,-77.458,2,138
674,5628,36055012100,0,2,43.111,-77.491,1,138
675,5645,36055013103,0,2,43.081,-77.677,2,138
676,5646,36055013104,0,2,43.081,-77.633,4,345
677,5648,36055013204,0,2,43.039,-77.628,1,138
678,5673,36055014202,0,2,43.148,-77.737,3,138
679,5677,36055014302,0,2,43.157,-77.693,2,138
680,5683,36055014601,0,2,43.075,-77.798,4,138
681,5684,36055014602,0,2,43.075,-77.736,3,138
682,5693,36055015000,0,2,43.08,-77.875,5,138
683,5702,36055980100,0,2,43.233,-77.567,2,138
684,5706,36057070500,0,6,42.956,-74.199,2,138
685,5715,36057072500,0,6,42.927,-74.697,2,138
686,5716,36057072600,0,6,42.866,-74.605,2,138
687,5719,36059300100,0,7,40.816,-73.738,4,138
688,5720,36059300300,0,7,40.804,-73.742,2,138
689,5721,36059300400,0,7,40.802,-73.726,2,138
690,5722,36059300500,0,3,40.788,-73.742,2,138
691,5724,36059300700,0,7,40.787,-73.726,5,138
692,5725,36059300800,0,7,40.775,-73.728,2,138
693,5730,36059301200,0,7,40.827,-73.695,3,138
694,5736,36059301800,0,7,40.787,-73.699,2,138
695,5738,36059302000,0,7,40.805,-73.647,2,138
696,5741,36059302200,0,7,40.786,-73.648,2,138
697,5743,36059302400,0,7,40.772,-73.648,1,138
698,5744,36059302501,0,7,40.773,-73.633,3,138
699,5746,36059302600,0,7,40.732,-73.702,1,138
700,5749,36059302900,0,7,40.746,-73.678,3,138
701,5750,36059303000,0,7,40.735,-73.685,2,138
702,5759,36059303600,0,7,40.745,-73.641,2,138
703,5760,36059303700,0,7,40.749,-73.628,2,138
704,5761,36059303800,0,7,40.75,-73.612,2,138
705,5771,36059404500,0,7,40.725,-73.697,2,138
706,5773,36059404700,0,7,40.726,-73.686,2,138
707,5775,36059404901,0,3,40.702,-73.722,2,138
708,5776,36059404902,0,3,40.704,-73.715,2,138
709,5777,36059405000,0,3,40.701,-73.703,2,138
