index,from_bus,to_bus,ckt,is_transformer,tr_ratio,x_pu,b_pu,s_max_pu,status
420,246,248,1,0,0,0.00152,657.8947368,2.4,1
421,247,249,1,0,0,0.00089,1123.595506,2.4,1
422,248,283,1,0,0,0.00187,534.7593583,2.4,1
423,248,1742,1,0,0,0.00306,326.7973856,2.4,1
424,249,250,1,0,0,0.00104,961.5384615,2.4,1
425,249,258,1,0,0,0.00151,662.2516556,2.4,1
426,250,254,1,0,0,0.00103,970.8737864,2.4,1
427,251,257,1,0,0,0.00101,990.0990099,2.4,1
428,252,254,1,0,0,0.00086,1162.790698,2.4,1
429,252,256,1,0,0,0.00256,390.625,2.4,1
430,253,255,1,0,0,0.00103,970.8737864,2.4,1
431,255,266,1,0,0,0.00097,1030.927835,2.4,1
432,257,263,1,0,0,0.00111,900.9009009,2.4,1
433,258,265,1,0,0,0.00205,487.804878,2.4,1
434,259,260,1,0,0,0.00089,1123.595506,2.4,1
435,259,261,1,0,0,0.00089,1123.595506,2.5,1
436,259,262,1,0,0,0.0012,833.3333333,2.4,1
437,262,265,1,0,0,0.00107,934.5794393,2.4,1
438,263,274,1,0,0,0.00099,1010.10101,2.4,1
439,264,265,1,0,0,0.00102,980.3921569,2.4,1
440,264,268,1,0,0,0.00135,740.7407407,2.4,1
441,265,270,1,0,0,0.00078,1282.051282,2.4,1
442,265,271,1,0,0,0.00269,371.7472119,2.4,1
443,266,272,1,0,0,0.00101,990.0990099,2.4,1
444,267,273,1,0,0,0.00276,362.3188406,2.4,1
445,268,271,1,0,0,0.00107,934.5794393,2.4,1
446,269,280,1,0,0,0.00145,689.6551724,2.05,1
447,269,282,1,0,0,0.00174,574.7126437,2.4,1
448,270,276,1,0,0,0.00104,961.5384615,2.4,1
449,271,275,1,0,0,0.00101,990.0990099,2.4,1
450,272,280,1,0,0,0.00185,540.5405405,2.4,1
451,273,1798,1,0,0,0.01206,82.91873964,2.4,1
452,274,279,1,0,0,0.00113,884.9557522,2.4,1
453,275,278,1,0,0,0.00076,1315.789474,2.4,1
454,277,283,1,0,0,0.00154,649.3506494,2.05,1
455,277,1798,1,0,0,0.00324,308.6419753,2.3,1
456,279,281,1,0,0,0.00112,892.8571429,2.4,1
457,280,281,1,0,0,0.00058,1724.137931,2.4,1
458,280,1798,1,0,0,0.00516,193.7984496,2.4,1
459,282,1568,1,0,0,0.00141,709.2198582,2.4,1
460,284,1567,1,0,0,0.00103,970.8737864,7.92,1
461,285,898,1,0,0,0.0078096,128.0475312,3.66,1
462,285,1797,1,0,0,0.001733,577.034045,4.35,1
463,286,287,1,0,0,0.00647,154.5595054,2.19,1
464,286,1690,1,0,0,0.07158,13.97038279,3.25,1
465,287,293,1,0,0,0.01332,75.07507508,2.4,1
466,287,295,1,0,0,0.01488,67.20430108,2.05,1
